Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance
0day00:09:40,4.9260,2.0004,1.5879,0.3221,15.27,15.25,801
0day00:09:50,4.9250,2.0017,1.6153,0.3277,15.54,15.52,797
0day00:10:00,4.9240,2.0016,1.6426,0.3332,15.80,15.78,796
0day00:10:10,4.9240,2.0021,1.6700,0.3388,16.06,16.04,795
0day00:10:20,4.9250,2.0008,1.6974,0.3443,16.33,16.31,796
0day00:10:30,4.9240,2.0003,1.7248,0.3499,16.59,16.57,797
0day00:10:40,4.9240,2.0026,1.7522,0.3554,16.85,16.83,796
0day00:10:50,4.9260,2.0004,1.7795,0.3610,17.12,17.10,797
0day00:11:00,4.9260,2.0011,1.8069,0.3666,17.38,17.36,797
0day00:11:10,4.9260,2.0004,1.8343,0.3721,17.64,17.62,794
0day00:11:20,4.9270,2.0009,1.8617,0.3777,17.91,17.89,797
0day00:11:30,4.9260,2.0000,1.8890,0.3832,18.17,18.15,799
0day00:11:40,4.9260,2.0013,1.9164,0.3888,18.43,18.41,800
0day00:11:50,4.9250,2.0003,1.9438,0.3944,18.70,18.68,799
0day00:12:00,4.9260,2.0001,1.9711,0.3999,18.96,18.94,798
0day00:12:10,4.9270,2.0007,1.9985,0.4055,19.22,19.20,800
0day00:12:20,4.9280,2.0020,2.0259,0.4110,19.49,19.47,799
0day00:12:30,4.9290,2.0017,2.0533,0.4166,19.75,19.73,798
0day00:12:40,4.9280,2.0024,2.0808,0.4221,20.01,19.99,798
0day00:12:50,4.9280,2.0010,2.1081,0.4277,20.28,20.26,799
0day00:13:00,4.9280,2.0012,2.1355,0.4333,20.54,20.52,798
0day00:13:10,4.9270,2.0004,2.1629,0.4388,20.80,20.78,800
0day00:13:20,4.9270,2.0010,2.1903,0.4444,21.07,21.05,800
0day00:13:30,4.9260,2.0016,2.2177,0.4499,21.33,21.31,801
0day00:13:40,4.9250,2.0013,2.2451,0.4555,21.59,21.57,800
0day00:13:50,4.9260,2.0007,2.2724,0.4611,21.86,21.84,802
0day00:14:00,4.9260,2.0012,2.2998,0.4666,22.12,22.10,804
0day00:14:10,4.9240,1.9997,2.3272,0.4722,22.38,22.36,805
0day00:14:20,4.9290,2.0012,2.3546,0.4777,22.65,22.63,804
0day00:14:30,4.9280,2.0019,2.3820,0.4833,22.91,22.89,805
0day00:14:40,4.9280,2.0014,2.4094,0.4888,23.18,23.15,803
0day00:14:50,4.9270,2.0016,2.4368,0.4944,23.44,23.42,802
0day00:15:00,4.9270,2.0013,2.4642,0.5000,23.70,23.68,802
0day00:15:10,4.9270,1.9997,2.4915,0.5055,23.97,23.94,802
0day00:15:20,4.9270,2.0010,2.5189,0.5111,24.23,24.21,804
0day00:15:30,4.9260,2.0018,2.5463,0.5166,24.49,24.47,805
0day00:15:40,4.9260,2.0002,2.5737,0.5222,24.76,24.73,804
0day00:15:50,4.9260,2.0013,2.6011,0.5278,25.02,24.99,804
0day00:16:00,4.9260,2.0003,2.6284,0.5333,25.28,25.26,807
0day00:16:10,4.9260,2.0017,2.6558,0.5389,25.55,25.52,805
0day00:16:20,4.9250,2.0009,2.6832,0.5444,25.81,25.78,805
0day00:16:30,4.9240,2.0014,2.7106,0.5500,26.07,26.05,805
0day00:16:40,4.9240,2.0021,2.7380,0.5556,26.34,26.31,806
0day00:16:50,4.9250,2.0006,2.7653,0.5611,26.60,26.57,808
0day00:17:00,4.9240,2.0022,2.7927,0.5667,26.86,26.84,806
0day00:17:10,4.9250,2.0014,2.8201,0.5722,27.13,27.10,806
0day00:17:20,4.9250,2.0026,2.8475,0.5778,27.39,27.36,806
0day00:17:30,4.9260,2.0001,2.8749,0.5834,27.65,27.63,806
0day00:17:40,4.9250,2.0003,2.9022,0.5889,27.92,27.89,805
0day00:17:50,4.9240,2.0016,2.9296,0.5945,28.18,28.15,806
0day00:18:00,4.9240,1.9995,2.9569,0.6000,28.44,28.42,806
0day00:18:10,4.9220,2.0018,2.9843,0.6056,28.71,28.68,807
0day00:18:20,4.9220,2.0024,3.0117,0.6111,28.97,28.94,802
0day00:18:30,4.9230,2.0007,3.0391,0.6167,29.23,29.21,805
0day00:18:40,4.9240,2.0023,3.0664,0.6223,29.50,29.47,801
0day00:18:50,4.9240,2.0009,3.0938,0.6278,29.76,29.73,803
0day00:19:00,4.9250,2.0009,3.1212,0.6334,30.02,30.00,803
0day00:19:10,4.9260,2.0012,3.1486,0.6389,30.29,30.26,802
0day00:19:20,4.9260,2.0002,3.1759,0.6445,30.55,30.52,804
0day00:19:30,4.9250,2.0008,3.2033,0.6501,30.81,30.79,804
0day00:19:40,4.9240,1.9998,3.2307,0.6556,31.08,31.05,805
0day00:19:50,4.9240,2.0011,3.2580,0.6612,31.34,31.31,803
0day00:20:00,4.9250,1.9993,3.2854,0.6667,31.60,31.58,805
0day00:20:10,4.9260,1.9987,3.3127,0.6723,31.86,31.84,805
0day00:20:20,4.9260,2.0012,3.3401,0.6778,32.13,32.10,805
0day00:20:30,4.9260,2.0016,3.3675,0.6834,32.39,32.37,807
0day00:20:40,4.9250,1.9997,3.3949,0.6889,32.65,32.63,808
0day00:20:50,4.9250,2.0012,3.4222,0.6945,32.92,32.89,809
0day00:21:00,4.9240,2.0003,3.4496,0.7001,33.18,33.16,809
0day00:21:10,4.9240,2.0008,3.4770,0.7056,33.44,33.42,809
0day00:21:20,4.9240,2.0005,3.5043,0.7112,33.71,33.68,807
0day00:21:30,4.9240,2.0011,3.5317,0.7167,33.97,33.94,807
0day00:21:40,4.9240,1.9999,3.5591,0.7223,34.23,34.21,806
0day00:21:50,4.9240,1.9999,3.5864,0.7278,34.50,34.47,806
0day00:22:00,4.9240,2.0000,3.6138,0.7334,34.76,34.73,807
0day00:22:10,4.9230,2.0001,3.6411,0.7390,35.02,35.00,810
0day00:22:20,4.9240,2.0004,3.6685,0.7445,35.29,35.26,810
0day00:22:30,4.9240,2.0003,3.6958,0.7501,35.55,35.52,808
0day00:22:40,4.9240,2.0014,3.7232,0.7556,35.81,35.79,808
0day00:22:50,4.9250,2.0000,3.7506,0.7612,36.08,36.05,810
0day00:23:00,4.9250,2.0009,3.7779,0.7667,36.34,36.31,809
0day00:23:10,4.9250,2.0008,3.8053,0.7723,36.60,36.58,804
0day00:23:20,4.9250,1.9995,3.8327,0.7779,36.87,36.84,811
0day00:23:30,4.9250,2.0016,3.8601,0.7834,37.13,37.10,811
0day00:23:40,4.9250,2.0006,3.8874,0.7890,37.39,37.37,813
0day00:23:50,4.9230,2.0000,3.9148,0.7945,37.66,37.63,812
0day00:24:00,4.9230,2.0003,3.9421,0.8001,37.92,37.89,809
0day00:24:10,4.9220,2.0020,3.9695,0.8056,38.18,38.16,811
0day00:24:20,4.9210,2.0009,3.9968,0.8112,38.44,38.42,811
0day00:24:30,4.9210,2.0011,4.0242,0.8168,38.71,38.68,812
0day00:24:40,4.9210,2.0000,4.0515,0.8223,38.97,38.95,815
0day00:24:50,4.9210,2.0013,4.0789,0.8279,39.23,39.21,811
0day00:25:00,4.9230,2.0000,4.1062,0.8334,39.50,39.47,813
0day00:25:10,4.9230,2.0014,4.1336,0.8390,39.76,39.73,813
0day00:25:20,4.9240,2.0012,4.1610,0.8445,40.02,40.00,812
0day00:25:30,4.9250,2.0009,4.1884,0.8501,40.29,40.26,813
0day00:25:40,4.9250,1.9993,4.2157,0.8557,40.55,40.52,813
0day00:25:50,4.9250,2.0032,4.2431,0.8612,40.81,40.79,811
0day00:26:00,4.9260,2.0003,4.2705,0.8668,41.08,41.05,811
0day00:26:10,4.9250,2.0007,4.2979,0.8723,41.34,41.31,814
0day00:26:20,4.9250,2.0008,4.3252,0.8779,41.60,41.58,813
0day00:26:30,4.9240,2.0000,4.3526,0.8835,41.87,41.84,816
0day00:26:40,4.9230,1.9999,4.3799,0.8890,42.13,42.10,814
0day00:26:50,4.9230,2.0009,4.4073,0.8946,42.39,42.37,813
0day00:27:00,4.9240,2.0007,4.4347,0.9001,42.66,42.63,815
0day00:27:10,4.9240,1.9997,4.4620,0.9057,42.92,42.89,816
0day00:27:20,4.9230,2.0009,4.4894,0.9112,43.18,43.16,815
0day00:27:30,4.9220,1.9997,4.5167,0.9168,43.45,43.42,816
0day00:27:40,4.9220,2.0021,4.5441,0.9224,43.71,43.68,818
0day00:27:50,4.9230,2.0003,4.5714,0.9279,43.97,43.95,819
0day00:28:00,4.9230,2.0000,4.5988,0.9335,44.23,44.21,818
0day00:28:10,4.9220,2.0017,4.6262,0.9390,44.50,44.47,819
0day00:28:20,4.9220,2.0001,4.6535,0.9446,44.76,44.74,820
0day00:28:30,4.9230,1.9999,4.6809,0.9501,45.02,45.00,820
0day00:28:40,4.9240,1.9997,4.7082,0.9557,45.29,45.26,819
0day00:28:50,4.9240,2.0006,4.7356,0.9612,45.55,45.53,821
0day00:29:00,4.9240,1.9998,4.7629,0.9668,45.81,45.79,823
0day00:29:10,4.9230,1.9992,4.7903,0.9724,46.08,46.05,823
0day00:29:20,4.9230,2.0001,4.8176,0.9779,46.34,46.31,824
0day00:29:30,4.9230,2.0005,4.8450,0.9835,46.60,46.58,824
0day00:29:40,4.9250,2.0014,4.8724,0.9890,46.87,46.84,821
0day00:29:50,4.9240,1.9999,4.8997,0.9946,47.13,47.10,823
0day00:30:00,4.9230,1.9995,4.9271,1.0001,47.39,47.37,823
0day00:30:10,4.9230,2.0008,4.9544,1.0057,47.66,47.63,824
0day00:30:20,4.9230,2.0015,4.9818,1.0113,47.92,47.89,823
0day00:30:30,4.9240,1.9994,5.0091,1.0168,48.18,48.16,820
0day00:30:40,4.9240,1.9999,5.0365,1.0224,48.44,48.42,823
0day00:30:50,4.9230,2.0013,5.0639,1.0279,48.71,48.68,823
0day00:31:00,4.9240,1.9992,5.0912,1.0335,48.97,48.95,822
0day00:31:10,4.9220,1.9992,5.1185,1.0390,49.23,49.21,816
0day00:31:20,4.9230,2.0014,5.1459,1.0446,49.50,49.47,820
0day00:31:30,4.9240,2.0011,5.1733,1.0501,49.76,49.74,823
0day00:31:40,4.9240,2.0000,5.2006,1.0557,50.02,50.00,821
0day00:31:50,4.9230,2.0015,5.2280,1.0613,50.29,50.26,821
0day00:32:00,4.9230,2.0009,5.2554,1.0668,50.55,50.53,820
0day00:32:10,4.9220,2.0004,5.2827,1.0724,50.81,50.79,824
0day00:32:20,4.9220,2.0003,5.3101,1.0779,51.08,51.05,823
0day00:32:30,4.9220,2.0011,5.3374,1.0835,51.34,51.31,824
0day00:32:40,4.9220,2.0006,5.3648,1.0890,51.60,51.58,820
0day00:32:50,4.9220,2.0003,5.3921,1.0946,51.87,51.84,824
0day00:33:00,4.9220,2.0000,5.4195,1.1002,52.13,52.10,822
0day00:33:10,4.9230,1.9996,5.4468,1.1057,52.39,52.37,821
0day00:33:20,4.9230,2.0005,5.4742,1.1113,52.65,52.63,819
0day00:33:30,4.9240,2.0011,5.5015,1.1168,52.92,52.89,823
0day00:33:40,4.9240,2.0007,5.5289,1.1224,53.18,53.16,822
0day00:33:50,4.9240,2.0005,5.5563,1.1279,53.44,53.42,822
0day00:34:00,4.9240,2.0014,5.5836,1.1335,53.71,53.68,821
0day00:34:10,4.9240,2.0015,5.6110,1.1391,53.97,53.95,820
0day00:34:20,4.9240,2.0010,5.6384,1.1446,54.23,54.21,820
0day00:34:30,4.9230,2.0016,5.6658,1.1502,54.50,54.47,820
0day00:34:40,4.9230,2.0015,5.6931,1.1557,54.76,54.74,821
0day00:34:50,4.9220,2.0004,5.7205,1.1613,55.02,55.00,818
0day00:35:00,4.9220,2.0010,5.7478,1.1669,55.29,55.26,818
0day00:35:10,4.9210,2.0001,5.7752,1.1724,55.55,55.53,817
0day00:35:20,4.9210,2.0002,5.8025,1.1780,55.81,55.79,815
0day00:35:30,4.9210,1.9998,5.8298,1.1835,56.08,56.05,813
0day00:35:40,4.9210,2.0006,5.8572,1.1891,56.34,56.32,815
0day00:35:50,4.9200,2.0000,5.8845,1.1946,56.60,56.58,817
0day00:36:00,4.9190,2.0008,5.9119,1.2002,56.87,56.84,817
0day00:36:10,4.9190,1.9996,5.9392,1.2058,57.13,57.10,817
0day00:36:20,4.9180,1.9994,5.9665,1.2113,57.39,57.37,817
0day00:36:30,4.9190,1.9994,5.9938,1.2169,57.65,57.63,822
0day00:36:40,4.9190,1.9999,6.0212,1.2224,57.92,57.89,820
0day00:36:50,4.9190,1.9999,6.0485,1.2280,58.18,58.16,819
0day00:37:00,4.9200,1.9996,6.0758,1.2335,58.44,58.42,819
0day00:37:10,4.9200,2.0002,6.1031,1.2391,58.70,58.68,819
0day00:37:20,4.9200,2.0001,6.1305,1.2446,58.97,58.95,820
0day00:37:30,4.9200,2.0005,6.1578,1.2502,59.23,59.21,820
0day00:37:40,4.9200,2.0002,6.1852,1.2557,59.49,59.47,819
0day00:37:50,4.9200,1.9996,6.2125,1.2613,59.76,59.74,818
0day00:38:00,4.9190,2.0005,6.2398,1.2669,60.02,60.00,818
0day00:38:10,4.9190,1.9998,6.2671,1.2724,60.28,60.26,820
0day00:38:20,4.9190,2.0004,6.2945,1.2780,60.55,60.53,817
0day00:38:30,4.9190,2.0002,6.3218,1.2835,60.81,60.79,816
0day00:38:40,4.9190,1.9994,6.3491,1.2891,61.07,61.05,817
0day00:38:50,4.9180,1.9997,6.3764,1.2946,61.33,61.31,821
0day00:39:00,4.9170,2.0009,6.4038,1.3002,61.60,61.58,823
0day00:39:10,4.9170,2.0015,6.4311,1.3058,61.86,61.84,822
0day00:39:20,4.9170,2.0007,6.4584,1.3113,62.12,62.10,822
0day00:39:30,4.9170,2.0021,6.4858,1.3169,62.39,62.37,820
0day00:39:40,4.9170,2.0005,6.5131,1.3224,62.65,62.63,825
0day00:39:50,4.9170,2.0006,6.5404,1.3280,62.91,62.89,823
0day00:40:00,4.9150,2.0000,6.5677,1.3335,63.17,63.16,826
0day00:40:10,4.9150,2.0016,6.5951,1.3391,63.44,63.42,826
0day00:40:20,4.9150,2.0009,6.6224,1.3447,63.70,63.68,828
0day00:40:30,4.9160,2.0002,6.6497,1.3502,63.96,63.95,827
0day00:40:40,4.9170,2.0002,6.6770,1.3558,64.22,64.21,826
0day00:40:50,4.9190,1.9998,6.7043,1.3613,64.49,64.47,826
0day00:41:00,4.9190,2.0011,6.7317,1.3669,64.75,64.74,827
0day00:41:10,4.9190,1.9998,6.7590,1.3724,65.01,65.00,828
0day00:41:20,4.9180,2.0001,6.7863,1.3780,65.28,65.26,827
0day00:41:30,4.9190,2.0003,6.8137,1.3836,65.54,65.53,826
0day00:41:40,4.9190,2.0012,6.8410,1.3891,65.80,65.79,828
0day00:41:50,4.9190,2.0014,6.8684,1.3947,66.07,66.05,825
0day00:42:00,4.9200,2.0002,6.8957,1.4002,66.33,66.32,827
0day00:42:10,4.9210,2.0006,6.9230,1.4058,66.59,66.58,827
0day00:42:20,4.9200,2.0008,6.9504,1.4113,66.85,66.84,827
0day00:42:30,4.9210,2.0013,6.9777,1.4169,67.12,67.11,827
0day00:42:40,4.9200,2.0010,7.0051,1.4225,67.38,67.37,828
0day00:42:50,4.9200,2.0016,7.0324,1.4280,67.64,67.63,825
0day00:43:00,4.9200,2.0012,7.0598,1.4336,67.91,67.89,830
0day00:43:10,4.9210,1.9995,7.0871,1.4391,68.17,68.16,829
0day00:43:20,4.9220,2.0019,7.1145,1.4447,68.43,68.42,831
0day00:43:30,4.9210,2.0005,7.1418,1.4503,68.70,68.68,833
0day00:43:40,4.9210,1.9994,7.1692,1.4558,68.96,68.95,832
0day00:43:50,4.9210,2.0003,7.1965,1.4614,69.22,69.21,832
0day00:44:00,4.9210,2.0006,7.2239,1.4669,69.48,69.47,828
0day00:44:10,4.9210,1.9994,7.2512,1.4725,69.75,69.74,828
0day00:44:20,4.9220,2.0008,7.2785,1.4780,70.01,70.00,828
0day00:44:30,4.9220,2.0005,7.3059,1.4836,70.27,70.26,830
0day00:44:40,4.9210,2.0005,7.3332,1.4891,70.54,70.53,829
0day00:44:50,4.9210,2.0003,7.3606,1.4947,70.80,70.79,832
0day00:45:00,4.9210,1.9999,7.3879,1.5003,71.06,71.05,830
0day00:45:10,4.9220,1.9998,7.4153,1.5058,71.33,71.32,832
0day00:45:20,4.9220,2.0019,7.4426,1.5114,71.59,71.58,832
0day00:45:30,4.9230,2.0011,7.4700,1.5169,71.85,71.84,835
0day00:45:40,4.9220,2.0003,7.4973,1.5225,72.12,72.11,832
0day00:45:50,4.9210,2.0010,7.5247,1.5280,72.38,72.37,834
0day00:46:00,4.9220,2.0009,7.5521,1.5336,72.64,72.63,834
0day00:46:10,4.9220,2.0011,7.5794,1.5392,72.90,72.90,834
0day00:46:20,4.9220,2.0011,7.6068,1.5447,73.17,73.16,833
0day00:46:30,4.9230,2.0010,7.6341,1.5503,73.43,73.42,833
0day00:46:40,4.9230,2.0001,7.6615,1.5558,73.69,73.68,833
0day00:46:50,4.9240,2.0005,7.6889,1.5614,73.96,73.95,834
0day00:47:00,4.9240,2.0006,7.7162,1.5669,74.22,74.21,833
0day00:47:10,4.9230,2.0004,7.7436,1.5725,74.48,74.47,835
0day00:47:20,4.9220,2.0009,7.7709,1.5781,74.75,74.74,836
0day00:47:30,4.9210,2.0009,7.7983,1.5836,75.01,75.00,838
0day00:47:40,4.9210,2.0014,7.8256,1.5892,75.27,75.26,835
0day00:47:50,4.9220,2.0005,7.8530,1.5947,75.54,75.53,836
0day00:48:00,4.9220,2.0008,7.8803,1.6003,75.80,75.79,838
0day00:48:10,4.9220,2.0004,7.9077,1.6059,76.06,76.05,837
0day00:48:20,4.9220,2.0005,7.9350,1.6114,76.33,76.32,836
0day00:48:30,4.9220,2.0004,7.9624,1.6170,76.59,76.58,839
0day00:48:40,4.9210,2.0003,7.9897,1.6225,76.85,76.84,839
0day00:48:50,4.9210,1.9998,8.0171,1.6281,77.11,77.11,836
0day00:49:00,4.9200,2.0003,8.0444,1.6336,77.38,77.37,835
0day00:49:10,4.9200,2.0004,8.0717,1.6392,77.64,77.63,835
0day00:49:20,4.9200,2.0006,8.0991,1.6447,77.90,77.90,838
0day00:49:30,4.9200,2.0002,8.1264,1.6503,78.17,78.16,839
0day00:49:40,4.9200,2.0001,8.1538,1.6559,78.43,78.42,836
0day00:49:50,4.9190,1.9994,8.1811,1.6614,78.69,78.69,837
0day00:50:00,4.9190,2.0002,8.2084,1.6670,78.96,78.95,838
0day00:50:10,4.9190,1.9996,8.2357,1.6725,79.22,79.21,839
0day00:50:20,4.9200,2.0001,8.2631,1.6781,79.48,79.47,838
0day00:50:30,4.9210,2.0000,8.2904,1.6836,79.74,79.74,838
0day00:50:40,4.9220,1.9993,8.3177,1.6892,80.01,80.00,836
0day00:50:50,4.9210,2.0008,8.3451,1.6947,80.27,80.26,837
0day00:51:00,4.9210,2.0000,8.3724,1.7003,80.53,80.53,836
0day00:51:10,4.9210,1.9989,8.3998,1.7059,80.80,80.79,835
0day00:51:20,4.9210,1.9999,8.4271,1.7114,81.06,81.05,838
0day00:51:30,4.9210,2.0012,8.4544,1.7170,81.32,81.32,840
0day00:51:40,4.9200,2.0002,8.4818,1.7225,81.58,81.58,840
0day00:51:50,4.9200,2.0013,8.5091,1.7281,81.85,81.84,841
0day00:52:00,4.9200,1.9997,8.5365,1.7336,82.11,82.11,840
0day00:52:10,4.9210,1.9996,8.5638,1.7392,82.37,82.37,843
0day00:52:20,4.9210,2.0004,8.5911,1.7448,82.64,82.63,838
0day00:52:30,4.9220,2.0003,8.6185,1.7503,82.90,82.90,838
0day00:52:40,4.9220,2.0008,8.6458,1.7559,83.16,83.16,840
0day00:52:50,4.9220,2.0009,8.6732,1.7614,83.43,83.42,840
0day00:53:00,4.9220,2.0014,8.7006,1.7670,83.69,83.69,841
0day00:53:10,4.9220,1.9998,8.7279,1.7725,83.95,83.95,840
0day00:53:20,4.9220,2.0005,8.7553,1.7781,84.22,84.21,841
0day00:53:30,4.9220,2.0005,8.7826,1.7837,84.48,84.47,842
0day00:53:40,4.9210,2.0010,8.8100,1.7892,84.74,84.74,842
0day00:53:50,4.9210,1.9997,8.8373,1.7948,85.00,85.00,838
0day00:54:00,4.9220,1.9996,8.8646,1.8003,85.27,85.26,841
0day00:54:10,4.9220,2.0005,8.8920,1.8059,85.53,85.53,841
0day00:54:20,4.9220,2.0011,8.9193,1.8114,85.79,85.79,840
0day00:54:30,4.9220,1.9995,8.9467,1.8170,86.06,86.05,839
0day00:54:40,4.9220,1.9993,8.9740,1.8225,86.32,86.32,838
0day00:54:50,4.9230,2.0009,9.0014,1.8281,86.58,86.58,838
0day00:55:00,4.9230,2.0005,9.0287,1.8337,86.85,86.84,840
0day00:55:10,4.9230,1.9998,9.0561,1.8392,87.11,87.11,841
0day00:55:20,4.9230,2.0000,9.0834,1.8448,87.37,87.37,841
0day00:55:30,4.9240,2.0010,9.1108,1.8503,87.63,87.63,840
0day00:55:40,4.9240,2.0004,9.1382,1.8559,87.90,87.90,840
0day00:55:50,4.9240,2.0000,9.1655,1.8614,88.16,88.16,841
0day00:56:00,4.9240,1.9991,9.1929,1.8670,88.42,88.42,842
0day00:56:10,4.9250,1.9992,9.2202,1.8725,88.69,88.68,838
0day00:56:20,4.9250,2.0017,9.2476,1.8781,88.95,88.95,841
0day00:56:30,4.9250,2.0004,9.2750,1.8837,89.21,89.21,839
0day00:56:40,4.9240,2.0004,9.3023,1.8892,89.48,89.47,839
0day00:56:50,4.9240,1.9999,9.3297,1.8948,89.74,89.74,837
0day00:57:00,4.9250,1.9996,9.3570,1.9003,90.00,90.00,839
0day00:57:10,4.9250,1.9999,9.3844,1.9059,90.27,90.26,840
0day00:57:20,4.9240,2.0000,9.4118,1.9114,90.53,90.53,842
0day00:57:30,4.9240,1.9994,9.4391,1.9170,90.79,90.79,843
0day00:57:40,4.9230,2.0003,9.4665,1.9225,91.06,91.05,844
0day00:57:50,4.9230,1.9991,9.4938,1.9281,91.32,91.32,846
0day00:58:00,4.9230,2.0001,9.5211,1.9337,91.58,91.58,841
0day00:58:10,4.9240,1.9995,9.5485,1.9392,91.84,91.84,840
0day00:58:20,4.9220,1.9995,9.5758,1.9448,92.11,92.10,841
0day00:58:30,4.9210,2.0000,9.6032,1.9503,92.37,92.37,840
0day00:58:40,4.9200,1.9998,9.6305,1.9559,92.63,92.63,841
0day00:58:50,4.9200,2.0000,9.6578,1.9614,92.90,92.89,841
0day00:59:00,4.9210,2.0007,9.6852,1.9670,93.16,93.16,842
0day00:59:10,4.9210,1.9993,9.7125,1.9725,93.42,93.42,841
0day00:59:20,4.9210,2.0010,9.7399,1.9781,93.69,93.68,842
0day00:59:30,4.9210,2.0013,9.7672,1.9837,93.95,93.95,841
0day00:59:40,4.9220,2.0020,9.7946,1.9892,94.21,94.21,845
0day00:59:50,4.9230,1.9996,9.8219,1.9948,94.48,94.47,846
0day01:00:00,4.9230,2.0002,9.8493,2.0003,94.74,94.74,844
0day01:00:10,4.9230,2.0004,9.8766,2.0059,95.00,95.00,840
0day01:00:20,4.9230,2.0018,9.9040,2.0114,95.26,95.26,841
0day01:00:30,4.9230,2.0001,9.9314,2.0170,95.53,95.53,843
0day01:00:40,4.9220,2.0002,9.9587,2.0226,95.79,95.79,842
