Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance
0day00:23:40,4.8990,1.9912,3.0637,0.6860,27.38,28.92,791
0day00:23:50,4.8980,1.9910,3.0908,0.6916,27.62,29.15,789
0day00:24:00,4.8960,1.9915,3.1179,0.6971,27.87,29.38,787
0day00:24:10,4.8950,1.9911,3.1450,0.7026,28.11,29.62,784
0day00:24:20,4.8950,1.9913,3.1720,0.7082,28.35,29.85,785
0day00:24:30,4.8940,1.9910,3.1991,0.7137,28.59,30.08,782
0day00:24:40,4.8930,1.9910,3.2262,0.7192,28.83,30.32,776
0day00:24:50,4.8930,1.9907,3.2532,0.7247,29.08,30.55,771
0day00:25:00,4.8930,1.9909,3.2803,0.7303,29.32,30.78,767
0day00:25:10,4.8920,1.9911,3.3073,0.7358,29.56,31.02,759
0day00:25:20,4.8920,1.9905,3.3344,0.7413,29.80,31.25,757
0day00:25:30,4.8920,1.9905,3.3614,0.7469,30.04,31.48,757
0day00:25:40,4.8910,1.9906,3.3885,0.7524,30.28,31.72,755
0day00:25:50,4.8910,1.9917,3.4155,0.7579,30.53,31.95,759
0day00:26:00,4.8920,1.9909,3.4426,0.7635,30.77,32.18,760
0day00:26:10,4.8920,1.9910,3.4697,0.7690,31.01,32.41,758
0day00:26:20,4.8920,1.9908,3.4967,0.7745,31.25,32.65,759
0day00:26:30,4.8920,1.9919,3.5238,0.7801,31.49,32.88,755
0day00:26:40,4.8910,1.9911,3.5508,0.7856,31.74,33.11,757
0day00:26:50,4.8910,1.9907,3.5779,0.7911,31.98,33.35,755
0day00:27:00,4.8910,1.9911,3.6049,0.7966,32.22,33.58,755
0day00:27:10,4.8910,1.9906,3.6320,0.8022,32.46,33.81,754
0day00:27:20,4.8900,1.9906,3.6590,0.8077,32.70,34.05,754
0day00:27:30,4.8910,1.9907,3.6861,0.8132,32.94,34.28,753
0day00:27:40,4.8910,1.9909,3.7131,0.8188,33.19,34.51,753
0day00:27:50,4.8910,1.9908,3.7402,0.8243,33.43,34.75,754
0day00:28:00,4.8900,1.9905,3.7672,0.8298,33.67,34.98,753
0day00:28:10,4.8900,1.9905,3.7942,0.8353,33.91,35.21,753
0day00:28:20,4.8900,1.9901,3.8213,0.8409,34.15,35.45,752
0day00:28:30,4.8900,1.9907,3.8483,0.8464,34.39,35.68,754
0day00:28:40,4.8900,1.9908,3.8753,0.8519,34.64,35.91,754
0day00:28:50,4.8890,1.9906,3.9024,0.8575,34.88,36.14,755
0day00:29:00,4.8870,1.9903,3.9294,0.8630,35.12,36.38,755
0day00:29:10,4.8860,1.9906,3.9564,0.8685,35.36,36.61,756
0day00:29:20,4.8870,1.9914,3.9834,0.8741,35.60,36.84,755
0day00:29:30,4.8850,1.9905,4.0105,0.8796,35.84,37.08,757
0day00:29:40,4.8850,1.9906,4.0375,0.8851,36.08,37.31,756
0day00:29:50,4.8850,1.9904,4.0645,0.8906,36.33,37.54,757
0day00:30:00,4.8850,1.9911,4.0915,0.8962,36.57,37.78,758
0day00:30:10,4.8860,1.9906,4.1185,0.9017,36.81,38.01,757
0day00:30:20,4.8860,1.9905,4.1455,0.9072,37.05,38.24,755
0day00:30:30,4.8860,1.9902,4.1725,0.9128,37.29,38.48,756
0day00:30:40,4.8860,1.9905,4.1996,0.9183,37.53,38.71,756
0day00:30:50,4.8850,1.9897,4.2265,0.9238,37.77,38.94,758
0day00:31:00,4.8850,1.9908,4.2536,0.9293,38.02,39.17,759
0day00:31:10,4.8850,1.9907,4.2806,0.9349,38.26,39.41,757
0day00:31:20,4.8840,1.9902,4.3076,0.9404,38.50,39.64,758
0day00:31:30,4.8840,1.9898,4.3346,0.9459,38.74,39.87,757
0day00:31:40,4.8840,1.9903,4.3616,0.9515,38.98,40.11,758
0day00:31:50,4.8830,1.9902,4.3886,0.9570,39.22,40.34,759
0day00:32:00,4.8820,1.9905,4.4156,0.9625,39.46,40.57,758
0day00:32:10,4.8810,1.9892,4.4425,0.9680,39.70,40.81,757
0day00:32:20,4.8810,1.9901,4.4695,0.9736,39.95,41.04,757
0day00:32:30,4.8810,1.9900,4.4965,0.9791,40.19,41.27,757
0day00:32:40,4.8810,1.9902,4.5235,0.9846,40.43,41.50,756
0day00:32:50,4.8810,1.9902,4.5505,0.9902,40.67,41.74,754
0day00:33:00,4.8820,1.9903,4.5775,0.9957,40.91,41.97,758
0day00:33:10,4.8820,1.9908,4.6045,1.0012,41.15,42.20,755
0day00:33:20,4.8820,1.9901,4.6314,1.0067,41.39,42.44,757
0day00:33:30,4.8840,1.9907,4.6584,1.0123,41.63,42.67,759
0day00:33:40,4.8830,1.9900,4.6854,1.0178,41.88,42.90,759
0day00:33:50,4.8830,1.9904,4.7124,1.0233,42.12,43.14,758
0day00:34:00,4.8830,1.9912,4.7394,1.0289,42.36,43.37,757
0day00:34:10,4.8830,1.9906,4.7664,1.0344,42.60,43.60,756
0day00:34:20,4.8820,1.9902,4.7934,1.0399,42.84,43.84,760
0day00:34:30,4.8820,1.9902,4.8204,1.0454,43.08,44.07,758
0day00:34:40,4.8820,1.9902,4.8474,1.0510,43.32,44.30,758
0day00:34:50,4.8820,1.9903,4.8744,1.0565,43.56,44.53,758
